Time Input_psi Output_deg
345 7.86572985269549 -17.171501585582
346 7.89568125871354 -17.1782424086164
347 7.92419270655263 -17.1892394247653
348 7.94754408520579 -17.2004419855213
349 7.97979381152788 -17.2119846653022
350 8.007142734729 -17.2183608438164
351 8.03604246006539 -17.2271767586787
352 8.06389806975044 -17.2377465409629
353 8.09255444750405 -17.250289893743
354 8.12610553671785 -17.259629127158
355 8.15600111793238 -17.2712182665203
356 8.17996621247123 -17.2821082404889
357 8.21504059610796 -17.2934839874097
358 8.24510523283862 -17.3028284699581
359 8.27988676508966 -17.3147685103904
360 8.30821633532795 -17.3285489214878
361 8.33886633127693 -17.3410073539381
362 8.37225721543987 -17.3524840433416
363 8.39676129275064 -17.3647640622139
364 8.43567791551664 -17.3847994446659
365 8.45742373114735 -17.391260491073
366 8.4897266666283 -17.4106231843204
367 8.52551730799439 -17.4239030872596
368 8.55068115384316 -17.4410391208499
369 8.58533594083393 -17.4578357955682
370 8.62247265144185 -17.4737530457509
371 8.65659313344346 -17.4898320043325
372 8.68706494810279 -17.5017979192986
373 8.71575179448152 -17.5180548178176
374 8.75476869467396 -17.5336296079751
375 8.78560727885135 -17.5492216101642
376 8.81273561012332 -17.5689086470855
377 8.84635942369692 -17.5847809385994
378 8.8862955009947 -17.5977799486005
379 8.91637154710025 -17.61785144915
380 8.94961803701223 -17.6293603189825
381 8.98063058120395 -17.6405120804471
382 9.01903685394215 -17.6625742860088
383 9.04864344517068 -17.6757950607143
384 9.08618110435596 -17.6901327441865
385 9.11337363477356 -17.7095927265815
386 9.15184566034712 -17.7257545476907
387 9.19022685259 -17.7369679481501
388 9.22167812516 -17.7513321810836
389 9.25392232656232 -17.7743381574121
390 9.28295672933872 -17.7872340131261
391 9.32841905572667 -17.8068083391764
392 9.36332943833126 -17.8258781549239
393 9.39126328750214 -17.8380426492374
394 9.42666750372363 -17.8607123117374
395 9.45470381436245 -17.8732412551924
396 9.49353843724039 -17.8911067402607
397 9.53415478102524 -17.9107535743983
398 9.56515700146243 -17.926069683395
399 9.59670982180633 -17.9430713654232
400 9.63678510958592 -17.9647393109701
401 9.66897482306604 -17.9857835880652
402 9.70019569913342 -18.0051384509018
403 9.73610949360027 -18.0231075905114
404 9.77132814179492 -18.0467451682473
405 9.80944756424849 -18.0757324160701
406 9.83987922894076 -18.090959727996
407 9.87445534423604 -18.1072046032764
408 9.91585578965072 -18.1369635959214
409 9.9395833279958 -18.1556768855184
410 9.9765917837611 -18.1840174387312
411 10.0120900722782 -18.2026804543145
412 10.0479407559465 -18.224495031315
413 10.0861786896648 -18.2488477905209
414 10.1196333562542 -18.2764022105211
415 10.1540536057884 -18.2999332832353
416 10.1823729169469 -18.3230311177709
417 10.2201805128057 -18.3490365473991
418 10.2580258867135 -18.3716966354596
419 10.2813180953512 -18.3930380538561
420 10.3248968364187 -18.4196815199013
421 10.356835132609 -18.4483927094896
422 10.3948067575446 -18.467316962125
423 10.4239032732164 -18.5019843007501
424 10.4571636262923 -18.5192033271493
425 10.4831769038354 -18.5599813471143
426 10.5076397187462 -18.5778755941195
427 10.5645684420775 -18.5984835753394
428 10.5955860803739 -18.6244005610471
429 10.6325776320759 -18.6515471158453
430 10.6671524117929 -18.6792455253251
431 10.704101836685 -18.7107779352228
432 10.7379297223134 -18.7338795405918
433 10.7674668040432 -18.7607875254247
434 10.7944845974603 -18.781729152349
435 10.8321015525521 -18.8065837203699
436 10.8646823740907 -18.8276087639138
437 10.8973297610588 -18.8517847521783
438 10.9296050616808 -18.8786400349084
439 10.9560246046135 -18.9041207099751
440 10.9918990299448 -18.9329506617463
441 11.0360162985693 -18.9607137463175
442 11.0690641669548 -18.9814136722709
443 11.0953059114309 -19.0041104415393
444 11.1165835423827 -19.0219078758318
445 11.1378835836945 -19.0347134416914
446 11.1866549797463 -19.0857412278528
447 11.2229136337219 -19.1056456772199
448 11.2577359143836 -19.1302833709023
449 11.2901904179427 -19.1584291095771
450 11.3275243143342 -19.1812953188106
451 11.3622597733619 -19.2052687801011
452 11.3844426574826 -19.222169295874
453 11.4203413400277 -19.2521785418855
454 11.444677245153 -19.2690482027506
455 11.4841200265212 -19.2870451202586
456 11.5185016711143 -19.3243004647429
