"Time Steps" "Input pressure setpoint(psi)" "Output Angle (deg)"
740 21.4770085983703 19.751652706898
741 21.5019523217865 19.7768633881227
742 21.5275537494847 19.7923324471502
743 21.5523440104212 19.8090329779197
744 21.5770516126467 19.8300381348969
745 21.6025104666621 19.8493242402771
746 21.6272991544023 19.8669398955613
747 21.6519893245814 19.8854126823217
748 21.6767965557892 19.8997916078198
749 21.7015863690834 19.9200772301762
750 21.7262439232945 19.9658287500732
751 21.7522310404895 20.0635546848037
752 21.7775433062389 20.0819041520014
753 21.8009436856803 20.0121356457181
754 21.8265401305521 20.011344823134
755 21.8521071601915 20.0300850779111
756 21.8771233776898 20.0510024939832
757 21.9011723502485 20.0685064090275
758 21.926417478245 20.0860092599671
759 21.9518315276515 20.1046832058111
760 21.9768246195749 20.2506382347763
761 22.0019501441794 20.2672336268092
762 22.0264051882832 20.2823336080869
763 22.0479902458617 20.2985542592346
764 22.0732529180364 20.3130848571069
765 22.0994878849037 20.3350789578435
766 22.1251121922634 20.3964707054761
767 22.1499206935075 20.4436324006683
768 22.1748095623497 20.4614434897022
769 22.1997713013337 20.4791868434047
770 22.2243736246022 20.4908954016883
771 22.2514702212143 20.4750030114873
772 22.2787542194968 20.4313674089279
773 22.3036726413982 20.4501082408262
774 22.3295476489277 20.4710430693374
